cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.794554,-14.7179,0.6404,1.2610,1a42,0
0.147840,-13.6578,7.4708,1.2628,1a42,10
0.015470,-13.6317,7.9346,1.2630,1a42,11
0.284545,-13.3712,7.5445,3.7664,1a42,12
0.093599,-13.2322,6.0159,1.2663,1a42,13
0.010248,-13.2199,7.0105,1.2638,1a42,14
0.004142,-13.1559,15.4785,3.7660,1a42,15
0.005113,-13.1045,7.0265,1.2637,1a42,16
0.035613,-13.0660,5.8444,1.2632,1a42,17
0.027003,-12.9683,6.6819,1.8347,1a42,18
0.070754,-12.9244,5.9135,1.2641,1a42,19
0.048555,-15.6091,4.4886,1.2650,1a42,1
0.109421,-15.5462,4.4794,3.5837,1a42,2
0.514504,-15.0812,1.5669,1.2635,1a42,3
0.041908,-14.5035,3.5963,1.2649,1a42,4
0.149024,-14.1012,4.8790,1.2650,1a42,5
0.821591,-14.1008,1.4259,3.7658,1a42,6
0.062680,-13.7645,6.8357,1.7772,1a42,7
0.020794,-13.7547,7.8848,1.2636,1a42,8
0.011182,-13.7287,5.1641,1.2630,1a42,9
0.974702,-13.5522,0.4244,0.3436,1a4m,0
0.671060,-11.3564,8.1176,1.3536,1a4m,10
0.909113,-14.2314,0.5568,1.1437,1a4m,1
0.434728,-13.1264,5.9645,2.6120,1a4m,2
0.913812,-12.9154,6.4505,0.9616,1a4m,3
0.415624,-12.8696,6.1286,0.9419,1a4m,4
0.610718,-12.7618,3.0721,1.2464,1a4m,5
0.280923,-12.2786,6.7111,1.3974,1a4m,6
0.239461,-11.6157,6.3068,2.1146,1a4m,7
0.341666,-11.5625,2.5177,2.5694,1a4m,8
0.565121,-11.5410,6.1897,1.7408,1a4m,9
0.996022,-14.4817,0.4548,0.3127,1a50,0
0.992828,-15.1270,0.8119,0.2906,1a50,1
0.959834,-14.1609,2.1665,0.3187,1a50,2
0.727103,-13.6163,6.9185,0.5391,1a50,3
0.580558,-13.4889,5.5121,0.9930,1a50,4
0.992201,-13.5122,0.4142,0.4962,1a69,0
0.169132,-11.8819,7.8841,1.7562,1a69,10
0.617992,-11.6764,3.6481,1.3190,1a69,11
0.004120,-11.6013,2.7622,1.3210,1a69,12
0.219621,-11.4850,9.7387,1.0016,1a69,13
0.983604,-14.3745,0.3769,0.4771,1a69,1
0.014006,-13.9450,5.8130,0.5794,1a69,2
0.878001,-13.9170,2.1156,1.5764,1a69,3
0.035494,-13.3907,3.2753,0.5727,1a69,4
0.232848,-13.3838,5.8482,1.4915,1a69,5
0.415358,-13.1745,2.7281,1.3175,1a69,6
0.441591,-12.8225,5.3475,1.3291,1a69,7
0.297703,-12.2197,8.4630,1.7644,1a69,8
0.024641,-11.9004,7.9071,1.6643,1a69,9
0.829268,-15.2557,0.4084,2.8374,1a9u,0
0.006001,-14.0519,8.8369,3.1983,1a9u,10
0.493679,-14.0010,7.2187,3.1208,1a9u,11
0.134645,-13.9799,8.0752,2.9338,1a9u,12
0.884878,-13.9742,0.9642,5.2122,1a9u,13
0.478901,-13.9605,5.4381,3.4725,1a9u,14
0.606326,-13.8964,6.7299,3.6123,1a9u,15
0.405793,-13.8642,3.4319,3.2823,1a9u,16
0.608320,-13.7987,6.7305,3.4120,1a9u,17
0.001755,-13.7380,8.7776,2.9039,1a9u,18
0.013387,-13.7302,8.7588,4.1060,1a9u,19
0.940772,-15.3484,0.7105,3.0328,1a9u,1
0.003668,-13.6418,8.7403,4.5151,1a9u,20
0.920594,-15.3273,0.5368,3.3955,1a9u,2
0.865522,-15.2287,0.9320,3.4396,1a9u,3
0.551018,-15.1797,6.7737,3.4275,1a9u,4
0.814960,-15.0631,6.8107,3.1808,1a9u,5
0.811915,-14.3315,4.3557,3.4287,1a9u,6
0.747721,-14.2105,0.4444,3.4238,1a9u,7
0.361223,-14.1590,5.2161,3.4301,1a9u,8
0.829245,-14.1031,4.9363,3.0427,1a9u,9
0.994054,-12.9884,0.2880,0.7489,1abf,0
0.848016,-15.0016,0.8748,1.2311,1abf,1
0.584646,-14.2422,3.6229,1.3587,1abf,2
0.111206,-14.0997,2.7800,1.3916,1abf,3
0.916135,-13.9895,3.4621,1.7781,1abf,4
0.649326,-13.7585,4.2165,1.6735,1abf,5
0.046460,-12.8041,3.9581,2.4077,1abf,6
0.517931,-12.1545,3.2016,2.7045,1abf,7
0.804304,-11.9174,0.7664,1.3124,1abt,0
0.160903,-12.4136,11.4265,1.9152,1abt,10
0.009666,-12.3929,12.2602,2.1689,1abt,11
0.009041,-12.3595,7.8090,2.0209,1abt,12
0.000561,-12.3340,9.8960,2.2906,1abt,13
0.005083,-12.3133,5.5429,3.5152,1abt,14
0.007340,-12.3040,9.7187,2.2034,1abt,15
0.015187,-12.2996,11.7974,3.1687,1abt,16
0.081803,-12.2995,11.5236,1.9579,1abt,17
0.000854,-12.2716,5.9693,3.4485,1abt,18
0.041987,-12.2613,4.2099,3.3768,1abt,19
0.001729,-12.8372,9.1498,3.4066,1abt,1
0.005261,-12.2130,4.1040,3.4099,1abt,20
0.004457,-12.7502,9.8933,2.2080,1abt,2
0.020347,-12.7475,7.0571,3.2608,1abt,3
0.024044,-12.6093,3.4523,1.8030,1abt,4
0.000459,-12.5829,13.5168,2.2161,1abt,5
0.000020,-12.5367,9.3621,3.3050,1abt,6
0.024625,-12.5128,11.9848,3.4231,1abt,7
0.000795,-12.4837,9.9171,3.3522,1abt,8
