cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.000229,-11.0846,10.4308,1.4966,10gs,10
0.001181,-11.0612,11.6209,1.5154,10gs,11
0.000150,-10.8856,9.1314,2.6719,10gs,12
0.012851,-10.8254,6.5142,1.3242,10gs,13
0.005825,-10.7973,6.9775,0.9116,10gs,14
0.001403,-10.7634,7.3956,2.6116,10gs,15
0.001285,-10.7561,9.5548,1.7045,10gs,16
0.004877,-10.6910,12.4437,2.6586,10gs,17
0.000024,-10.6441,5.6971,2.6455,10gs,18
0.003102,-10.3949,6.3100,2.3664,10gs,19
0.001376,-12.2662,5.9461,1.7810,10gs,1
0.004863,-10.3477,14.3731,1.3285,10gs,20
0.011657,-11.9774,5.5484,0.9623,10gs,2
0.000105,-11.9216,7.1300,1.7682,10gs,3
0.004786,-11.5863,5.7368,1.5114,10gs,4
0.004810,-11.3182,7.1922,2.5810,10gs,5
0.000439,-11.3107,10.9995,1.4803,10gs,6
0.001689,-11.2418,10.2395,1.7103,10gs,7
0.000098,-11.2367,10.0724,2.7711,10gs,8
0.003031,-11.1132,6.0960,1.7568,10gs,9
0.997397,-11.6852,0.6433,0.4065,10gs,0
0.069018,-12.2928,5.9720,1.8297,11gs,10
0.007198,-12.1478,3.7681,2.9951,11gs,11
0.000500,-12.0650,7.6620,1.7893,11gs,12
0.002123,-11.9118,6.2298,2.3631,11gs,13
0.000138,-11.9092,6.4785,1.9374,11gs,14
0.002027,-11.9009,6.0220,2.8907,11gs,15
0.023536,-11.8538,5.6239,3.0236,11gs,16
0.009156,-11.8134,3.7942,2.0845,11gs,17
0.004388,-11.7858,6.1332,3.0133,11gs,18
0.016446,-11.7633,7.3621,1.9870,11gs,19
0.017481,-13.2072,6.6286,3.1531,11gs,1
0.061647,-11.6449,6.5170,3.1829,11gs,20
0.001578,-12.9907,6.6260,1.2496,11gs,2
0.081671,-12.8609,5.2579,2.1463,11gs,3
0.029557,-12.6305,5.3509,2.2963,11gs,4
0.007044,-12.4929,4.9437,2.2731,11gs,5
0.074430,-12.3956,5.6460,2.9261,11gs,6
0.007997,-12.3870,5.9360,1.7882,11gs,7
0.146494,-12.3235,5.5090,1.5571,11gs,8
0.000602,-12.3193,5.9870,1.7644,11gs,9
0.999086,-13.3965,0.6739,0.4988,11gs,0
0.023032,-11.9252,10.5802,3.0413,13gs,10
0.039869,-11.9077,10.0294,2.9079,13gs,11
0.013333,-11.8785,2.8155,0.9963,13gs,12
0.010911,-11.8277,10.5000,3.1273,13gs,13
0.000775,-11.8008,10.4864,0.9972,13gs,14
0.003243,-11.7808,10.2423,3.1552,13gs,15
0.009958,-11.7391,11.5228,1.9359,13gs,16
0.030135,-11.7160,10.1765,3.0580,13gs,17
0.003876,-11.4612,10.4463,1.0862,13gs,18
0.001429,-11.3708,12.7592,1.0325,13gs,19
0.027122,-13.4694,6.1419,3.1537,13gs,1
0.006679,-11.2841,3.6810,2.3208,13gs,20
0.029678,-13.4460,6.0580,0.7626,13gs,2
0.093354,-13.1723,11.1586,3.2522,13gs,3
0.008366,-12.6850,5.9896,0.9961,13gs,4
0.046461,-12.6200,6.8766,3.1151,13gs,5
0.000525,-12.5323,6.4578,1.8474,13gs,6
0.004510,-12.2198,2.5144,1.0043,13gs,7
0.002102,-12.0790,10.9919,1.0647,13gs,8
0.001002,-12.0397,7.7012,1.8532,13gs,9
0.657457,-11.0295,1.4861,1.1872,13gs,0
0.934500,-14.8759,0.8466,0.8916,184l,1
0.915362,-14.7126,4.1638,0.8886,184l,2
0.940663,-14.0496,4.1204,0.9276,184l,3
0.020401,-12.3452,9.3940,0.8907,184l,4
0.021222,-11.9960,9.6727,0.8900,184l,5
0.999622,-15.0275,0.4626,0.5970,184l,0
0.970086,-19.1175,0.4622,0.4331,185l,1
0.963013,-18.7503,3.6460,1.0950,185l,2
0.904872,-17.3318,3.7491,1.1511,185l,3
0.876348,-16.9679,3.0686,1.1366,185l,4
0.235029,-16.3223,13.4101,0.8831,185l,5
0.460581,-16.2566,12.8082,1.0949,185l,6
0.353888,-16.1480,13.1926,0.8795,185l,7
0.056538,-16.1299,12.6808,0.8719,185l,8
0.999623,-18.6786,0.4303,0.2947,185l,0
0.980492,-15.9283,0.8981,0.8234,186l,1
0.970772,-14.2138,4.4554,0.6284,186l,2
0.999623,-17.2669,0.9803,0.3264,186l,0
0.968596,-14.1373,0.7545,0.8482,187l,1
0.969622,-14.1132,0.7291,0.8492,187l,2
0.980836,-13.9200,2.7533,1.0613,187l,3
0.955306,-11.6050,2.3696,1.4294,187l,4
0.049817,-11.3954,12.0083,0.8716,187l,5
0.924684,-11.3558,2.6803,1.2493,187l,6
0.999676,-13.4745,0.5823,0.2685,187l,0
0.957496,-13.7111,1.9291,0.8449,188l,1
0.952740,-13.6013,2.6497,0.8491,188l,2
0.947340,-12.7227,1.9362,0.4159,188l,3
0.271935,-11.4938,9.4533,0.8451,188l,4
0.328346,-10.9686,9.9933,0.8455,188l,5
0.998860,-13.0745,0.8157,0.4797,188l,0
0.848895,-23.5866,0.8400,1.1307,1a28,1
0.579570,-21.6678,0.9590,4.1869,1a28,2
0.409808,-21.6337,7.0561,0.7596,1a28,3
0.994069,-22.1545,0.2653,0.8056,1a28,0
0.872317,-14.5830,0.4560,1.0910,1a4h,1
0.000170,-11.9710,7.6208,2.0167,1a4h,2
0.001332,-11.6077,7.6559,2.7735,1a4h,3
0.989449,-14.8814,0.3966,0.7436,1a4h,0
0.993827,-15.1062,0.5170,0.2965,1a50,1
0.872054,-14.2914,2.0707,0.3417,1a50,2
0.997005,-14.4868,0.4577,0.3131,1a50,0
0.193688,-15.3094,0.6396,2.5796,1a9u,10
0.010682,-15.2996,5.1161,3.4290,1a9u,11
0.126745,-14.9933,7.3291,3.2365,1a9u,12
0.003062,-14.8999,5.1039,3.4256,1a9u,13
0.093267,-14.8701,7.2687,3.4252,1a9u,14
0.121413,-14.8186,4.3409,3.5504,1a9u,15
0.004686,-14.4933,5.1378,3.2276,1a9u,16
0.234646,-14.3944,7.3374,2.6458,1a9u,17
0.006112,-14.3694,5.1186,3.7999,1a9u,18
0.005593,-14.3468,4.6436,2.8521,1a9u,19
0.006715,-15.8459,3.2351,2.6158,1a9u,1
0.114841,-14.2841,7.3437,5.1555,1a9u,20
0.360146,-15.7485,6.7744,2.2752,1a9u,2
0.002712,-15.5857,3.3644,3.2976,1a9u,3
0.106801,-15.5817,0.4694,3.4340,1a9u,4
0.004827,-15.5325,3.1916,2.0219,1a9u,5
0.218834,-15.5016,0.9178,3.6187,1a9u,6
0.346068,-15.4714,0.8419,4.1327,1a9u,7
0.350116,-15.4707,6.8204,2.8895,1a9u,8
0.175314,-15.3974,6.7105,3.4346,1a9u,9
0.842564,-15.2557,0.4084,2.8374,1a9u,0
0.011066,-13.0700,5.8832,2.0015,1abt,10
0.181646,-13.0451,3.2886,1.5022,1abt,11
0.001195,-13.0290,7.6025,2.1369,1abt,12
0.006350,-13.0198,11.4604,3.2780,1abt,13
0.010277,-12.9876,7.6794,1.5018,1abt,14
0.002094,-12.9432,7.0735,1.4281,1abt,15
0.029600,-12.8635,8.6697,3.4803,1abt,16
0.141966,-12.8508,5.8706,3.3661,1abt,17
0.000953,-12.8488,10.9571,3.0825,1abt,18
0.005968,-12.8362,5.8776,3.3802,1abt,19
0.026025,-13.7469,6.6027,1.6222,1abt,1
0.004531,-12.7795,6.7518,1.4292,1abt,20
0.004590,-13.5547,7.8066,2.3513,1abt,2
0.090438,-13.3216,7.1272,3.3570,1abt,3
0.016240,-13.2679,5.2665,3.3843,1abt,4
0.002997,-13.1514,8.6625,2.7721,1abt,5
0.007600,-13.1502,8.9037,2.7397,1abt,6
0.003243,-13.1217,7.1329,3.0709,1abt,7
0.034849,-13.0975,6.8006,1.4714,1abt,8
