cnn_score,smina_score,lig_rmsd,fmax_rmsd,rank
0.007825,-9.1862,11.3438,0.4414,10
0.385356,-9.1542,11.0529,3.0422,11
0.005844,-9.0126,17.0973,2.2306,12
0.167860,-8.8944,15.4052,2.2591,13
0.002622,-8.8002,18.8436,2.2581,14
0.001241,-8.7371,12.7495,2.3613,15
0.005432,-8.6576,9.7849,2.6544,16
0.010301,-8.6562,10.2583,2.6089,17
0.019985,-8.6498,18.1858,2.3050,18
0.002814,-8.6038,17.7005,2.2968,19
0.015061,-10.5935,11.0944,0.4707,1
0.005489,-8.5850,10.7714,1.8639,20
0.183998,-10.4030,10.9514,0.4669,2
0.066038,-10.2716,11.2936,2.4302,3
0.003789,-10.0768,11.1220,2.5065,4
0.277864,-9.4989,11.5031,2.9284,5
0.280360,-9.4040,11.5755,2.2675,6
0.002929,-9.4019,10.7477,1.7932,7
0.016486,-9.3203,10.1212,2.2989,8
0.002939,-9.2876,13.8012,2.2977,9
0.000352,-9.8913,10.5137,1.5301,10
0.000056,-9.8052,8.6147,2.2761,11
0.000165,-9.7769,5.1724,1.3813,12
0.000679,-9.7752,4.6208,1.4229,13
0.000018,-9.7166,9.0104,1.4456,14
0.000029,-9.6987,8.2779,2.5170,15
0.000260,-9.6192,8.7336,2.7120,16
0.000042,-9.5640,8.3675,2.7879,17
0.000043,-9.4747,8.6143,1.2454,18
0.000002,-9.3317,7.2893,2.5296,19
0.010076,-10.8683,2.5395,2.3812,1
0.000070,-9.2693,8.7859,2.1829,20
0.045942,-10.8610,3.1535,2.1275,2
0.000209,-10.6770,3.0788,1.0555,3
0.001015,-10.0920,7.5047,3.1812,4
0.000261,-10.0251,9.2884,2.1162,5
0.023608,-9.9843,3.5002,1.8925,6
0.001054,-9.9524,7.1702,2.7050,7
0.000017,-9.9385,8.4710,1.5304,8
0.000218,-9.9380,7.3576,3.0482,9
0.000031,-7.0588,9.7333,3.0292,10
0.000461,-7.0055,9.9506,2.5454,11
0.000826,-6.9788,10.5047,2.1731,12
0.001042,-6.8745,6.6011,2.8539,13
0.000012,-6.8692,13.9344,2.6189,14
0.000031,-6.7760,11.3318,1.0480,15
0.006014,-6.7630,12.8621,1.4451,16
0.000231,-6.7459,13.7219,0.8380,17
0.000064,-6.7290,16.0831,2.5771,18
0.002113,-6.6800,8.5481,2.5346,19
0.002847,-7.9025,13.3201,2.4721,1
0.000131,-6.5877,10.0090,1.5537,20
0.000712,-7.5091,8.1488,2.5561,2
